Task,Start,Finish,Disponibilidade
Malimg,2011-01-01,2011-12-31,Inacessível
PlayDrone Project,2012-01-01,2013-12-31,Inacessível
Android Malware Genome Project,2012-01-01,2015-12-31,Inacessível
VirusTotal Malware Service Intelligence,2012-01-01,2022-12-31,Acessível
VirusShare,2012-01-01,2022-12-31,Acessível
The Drebin Dataset,2014-01-01,2014-12-31,Inacessível
Contagio Malware Dump,2013-01-01,2013-12-31,Acessível
AndroMalShare,2013-01-01,2021-12-31,Acessível
Droid Analytics,2013-01-01,2013-12-31,Inacessível
Contagio Mini Dump,2014-01-01,2018-12-31,Acessível
TheZoo,2014-01-01,2022-12-31,Acessível
DroidKin,2014-01-01,2015-12-31,Acessível
Heldroid,2014-01-01,2015-12-31,Acessível
Android Botnet,2015-01-01,2019-12-31,Acessível
Koodous,2015-01-01,2022-12-31,Acessível
M0Droid,2015-01-01,2015-12-31,Acessível
Android PRAGuard Dataset,2015-01-01,2015-12-31,Inacessível
AndroZoo,2016-01-01,2022-12-31,Acessível
ASHISHB Malware,2016-01-01,2020-12-31,Acessível
AMD,2017-01-01,2017-12-31,Inacessível
KISA,2018-01-01,2022-12-31,Acessível